"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 01 16:28:46 CST 2020","Sat Aug 01 16:29:23 CST 2020","37091","cases.购物车","test_numlimit","Test_numlimit","","","test_limit_306_307[num:201]",""
"passed","Sat Aug 01 16:25:02 CST 2020","Sat Aug 01 16:25:34 CST 2020","31546","cases.购物车","test_numlimit","Test_numlimit","","","test_numlimit_301_305[num:1]",""
"passed","Sat Aug 01 16:26:53 CST 2020","Sat Aug 01 16:27:31 CST 2020","37960","cases.购物车","test_numlimit","Test_numlimit","","","test_numlimit_301_305[num:200]",""
"passed","Sat Aug 01 16:27:33 CST 2020","Sat Aug 01 16:28:09 CST 2020","36202","cases.购物车","test_numlimit","Test_numlimit","","","test_numlimit_301_305[num:199]",""
"passed","Sat Aug 01 16:19:04 CST 2020","Sat Aug 01 16:19:16 CST 2020","11750","cases.注册","test_register","Test_register","","","第二次密码设置为：12345",""
"passed","Sat Aug 01 16:22:19 CST 2020","Sat Aug 01 16:22:40 CST 2020","20907","cases.登录","test_login","Test_login","","","test_101_110[输入账号验证码正确，密码为空]",""
"passed","Sat Aug 01 16:18:12 CST 2020","Sat Aug 01 16:18:23 CST 2020","11355","cases.注册","test_register","Test_register","","","手机号第二位为2",""
"passed","Sat Aug 01 16:20:00 CST 2020","Sat Aug 01 16:20:20 CST 2020","19938","cases.登录","test_login","Test_login","","","test_101_110[输入账号密码验证码都为空]",""
"passed","Sat Aug 01 16:21:28 CST 2020","Sat Aug 01 16:21:48 CST 2020","19651","cases.登录","test_login","Test_login","","","test_101_110[输入账号为空]",""
"passed","Sat Aug 01 16:19:18 CST 2020","Sat Aug 01 16:19:30 CST 2020","11405","cases.注册","test_register","Test_register","","","输入已注册账号",""
"broken","Sat Aug 01 16:18:40 CST 2020","Sat Aug 01 16:18:59 CST 2020","19307","cases.注册","test_register","Test_register","","","验证码设置错误：1234",""
"passed","Sat Aug 01 16:23:06 CST 2020","Sat Aug 01 16:23:27 CST 2020","21938","cases.登录","test_login","Test_login","","","test_101_110[全部输入，输入账号不正确]",""
"passed","Sat Aug 01 16:24:31 CST 2020","Sat Aug 01 16:24:59 CST 2020","28087","cases.登录","test_login","Test_login","","","输入正确的账号密码验证码",""
"passed","Sat Aug 01 16:26:14 CST 2020","Sat Aug 01 16:26:50 CST 2020","35822","cases.购物车","test_numlimit","Test_numlimit","","","test_numlimit_301_305[num:100]",""
"failed","Sat Aug 01 16:18:26 CST 2020","Sat Aug 01 16:18:37 CST 2020","11138","cases.注册","test_register","Test_register","","","输入密码为5位",""
"passed","Sat Aug 01 16:19:32 CST 2020","Sat Aug 01 16:19:56 CST 2020","23819","cases.注册","test_register","Test_register","","","使用规定的格式正确注册",""
"passed","Sat Aug 01 16:23:58 CST 2020","Sat Aug 01 16:24:29 CST 2020","30833","cases.登录","test_login","Test_login","","","test_101_110[全部输入，输入验证码不正确]",""
"passed","Sat Aug 01 16:28:12 CST 2020","Sat Aug 01 16:28:43 CST 2020","31049","cases.购物车","test_numlimit","Test_numlimit","","","test_limit_306_307[num:0]",""
"passed","Sat Aug 01 16:21:51 CST 2020","Sat Aug 01 16:22:14 CST 2020","22952","cases.登录","test_login","Test_login","","","test_101_110[输入账号正确，密码验证码为空]",""
"passed","Sat Aug 01 16:23:30 CST 2020","Sat Aug 01 16:23:55 CST 2020","24761","cases.登录","test_login","Test_login","","","test_101_110[全部输入，输入密码不正确]",""
"passed","Sat Aug 01 16:17:56 CST 2020","Sat Aug 01 16:18:09 CST 2020","13153","cases.注册","test_register","Test_register","","","手机号第一位不为1",""
"passed","Sat Aug 01 16:17:42 CST 2020","Sat Aug 01 16:17:53 CST 2020","11202","cases.注册","test_register","Test_register","","","手机号输入12位",""
"passed","Sat Aug 01 16:17:28 CST 2020","Sat Aug 01 16:17:40 CST 2020","11597","cases.注册","test_register","Test_register","","","手机号输入10位",""
"passed","Sat Aug 01 16:22:43 CST 2020","Sat Aug 01 16:23:03 CST 2020","19661","cases.登录","test_login","Test_login","","","test_101_110[输入账号密码正确，验证码为空]",""
"passed","Sat Aug 01 16:25:37 CST 2020","Sat Aug 01 16:26:11 CST 2020","34177","cases.购物车","test_numlimit","Test_numlimit","","","test_numlimit_301_305[num:2]",""
"passed","Sat Aug 01 16:20:23 CST 2020","Sat Aug 01 16:20:43 CST 2020","19987","cases.登录","test_login","Test_login","","","test_101_110[输入账号验证码都为空]",""
"passed","Sat Aug 01 16:21:00 CST 2020","Sat Aug 01 16:21:25 CST 2020","25072","cases.登录","test_login","Test_login","","","test_101_110[输入账号密码都为空]",""
